mentor_id,slug,profile_url,name,title,company,city,timezone,price,currency,reviews_count,sessions_count,categories,skills
141,aleksey_krapivnitskiy,https://solvery.io/ru/mentor/aleksey_krapivnitskiy,Алексей Крапивницкий,Аналитик,Антифишинг,Санкт-Петербург,Europe/Moscow,2916,rub,3,542,,"Тестирование, Бизнес аналитика, Системная аналитика, SQL, Kanban, Scrum, Selenium, Appium, CI/CD, Selenide, REST-assured, Postman, Cucumber, Функциональное тестирование, Agile, Управление требованиями, Управление документацией, Jira, BPMN, UML, Confluence"
2267,khriptoni,https://solvery.io/ru/mentor/khriptoni,Антон Хрипунов,Senior ABAP developer,Sap,Мытищи (Город),Europe/Belgrade,2916,rub,2,91,,"Бэкенд, Фронтенд, Базы данных, REST API, OOABAP, ABAP, oData, SAP, Unit Tests, OOP"
1331,Dmitriy_Pohodnya,https://solvery.io/ru/mentor/Dmitriy_Pohodnya,Дмитрий Походня,Senior Frontend developer,Обоз digital,Ростов-на-Дону,Europe/Moscow,2916,rub,5,345,,"Фронтенд, HTML, CSS, JavaScript, Vue.js"
2704,png_tech,https://solvery.io/ru/mentor/png_tech,Николай Пунин,Ведущий разработчик,,Тамбов,Europe/Moscow,2916,rub,2,200,,"Бэкенд, Управление командой, Java, Spring, Spring Boot, TDD, Spring Framework, OOP, Распределённая команда, Управление знаниями в команде, MVP, REST API, Процессы разработки и тестирования, Git, Gitflow, Unit Tests"
2816,wilful,https://solvery.io/ru/mentor/wilful,Андрей Семенов,Системный инженер,iTmage,Сочи,Europe/Kaliningrad,2916,rub,1,25,,"DevOps, Информационная безопасность, Ruby, Git, Docker, Linux, MySQL, CI/CD, Nginx, Terraform, bash, Puppet, GitLab, Rust"
3463,dshemin,https://solvery.io/ru/mentor/dshemin,Дмитрий Шемин,Ведущий разработчик,cloud.ru,Новосибирск,Asia/Krasnoyarsk,2916,rub,6,431,,"Бэкенд, PHP, Laravel, MongoDB, PostgreSQL, SQL, REST API, Docker, Ansible, CD, CI, Rabbitmq, CI/CD, GitlabCI, Go, DDD, GitHub, Kafka, Redis, Kubernetes, YAML, Helm, Terraform, GitLab, Prometheus, Grafana, gRPC"
2246,anton_rabinovich,https://solvery.io/ru/mentor/anton_rabinovich,Антон Рабинович,Системный аналитик,,Москва,Europe/Moscow,2916,rub,0,67,,"Управление командой, Бизнес аналитика, Системная аналитика, MongoDB, Базы данных, Git, SQL, REST API, Scrum, UML диаграммы, Процессы разработки и тестирования, Архитектура процессов, Паттерны проектирования, SoapUI, Аналитика, Software Architecture, Kafka, Agile, NoSQL, Управление требованиями, Проектирование интеграций, Системное проектирование, Управление документацией"
653,spoot,https://solvery.io/ru/mentor/spoot,Алесандр Куимов,Fullstack-разработчик (Laravel/Vue.js),Веб-студия кит,Геленджик,Europe/Moscow,2916,rub,0,0,,"Бэкенд, Фронтенд, Laravel, Vue.js"
223,ashatilovdev,https://solvery.io/ru/mentor/ashatilovdev,Александр Шатилов,Руководитель AI направления,Европлан,Москва,Europe/Moscow,2916,rub,0,2,,"Управление командой, Управление продуктом, Управление проектами, Стартапы: запуск, large language model (LLM), LLM (large language models)"
697,Vladislav_Serednyakov,https://solvery.io/ru/mentor/Vladislav_Serednyakov,Владислав Середняков,TechLead Fullstack PHP,Devhype Blog,Нижний Тагил,Asia/Yekaterinburg,2916,rub,1,270,,"DevOps, Бэкенд, Фронтенд, React, Bootstrap, PHP, Laravel, PostgreSQL, REST API, Docker, Linux, MySQL, Symfony, Процессы разработки и тестирования, CI/CD, Паттерны проектирования, DDD, RaspberryPi, Yii2, Websockets, Zend , Linux администрирование"
