chapter_no,chapter_title,match,value_rub,unit,flag,context,payer,payee,purpose,category
I,"О том, как Паниковский нарушил конвенцию",пятьдесят рублей,50.0,рублей,certain,"Затем сын черноморского героя мягко, без нажима, перешел к делу. Он просил пятьдесят рублей. Председатель, стесненный узкими рамками местного бюджета, смог дать только восемь рублей и три талона на обед в кооперативной столовой «Бывший друг желудка».",,,,
I,"О том, как Паниковский нарушил конвенцию",восемь рублей,8.0,рублей,certain,"Он просил пятьдесят рублей. Председатель, стесненный узкими рамками местного бюджета, смог дать только восемь рублей и три талона на обед в кооперативной столовой «Бывший друг желудка». Сын героя уложил деньги и талоны в глубокий карман поношенного серого в яблоках пиджака и уже собрался было подняться с розового пуфика, когда за дверью кабинета послышался топот и заградительный возглас секретаря.",,,,
I,"О том, как Паниковский нарушил конвенцию",три,3.0,,loose,"Он просил пятьдесят рублей. Председатель, стесненный узкими рамками местного бюджета, смог дать только восемь рублей и три талона на обед в кооперативной столовой «Бывший друг желудка». Сын героя уложил деньги и талоны в глубокий карман поношенного серого в яблоках пиджака и уже собрался было подняться с розового пуфика, когда за дверью кабинета послышался топот и заградительный возглас секретаря.",,,,
II,Тридцать сыновей лейтенанта Шмидта,восемь рублей,8.0,рублей,certain,"— Ну, ну, не буду вас мучить. Председатель осыпал меня золотым дождем на сумму в восемь рублей. Но имейте в виду, уважаемый Шура, даром я вас питать не намерен.",,,,
II,Тридцать сыновей лейтенанта Шмидта,три рубля,3.0,рубля,certain,Ниже помещались условия прогулок на веселой машине. В час — три рубля. За конец — по соглашению.,,,,
II,Тридцать сыновей лейтенанта Шмидта,Пять тысяч,5000.0,,loose,"Скажите, какая сумма вам нравится? — Пять тысяч, — быстро ответил Балаганов. — В месяц?",,,,
II,Тридцать сыновей лейтенанта Шмидта,пятьсот тысяч,500000.0,,loose,"— Тогда мне с вами не по пути. Мне нужно пятьсот тысяч. И по возможности сразу, а не частями.",,,,
II,Тридцать сыновей лейтенанта Шмидта,пятьсот тысяч,500000.0,,loose,"и сразу? — Вообще-то мне нужно больше, — сказал Остап, — пятьсот тысяч — это мой минимум, пятьсот тысяч полновесных ориентировочных рублей. Я хочу уехать, товарищ Шура, уехать очень далеко, в Рио-де-Жанейро.",,,,
II,Тридцать сыновей лейтенанта Шмидта,пятьсот тысяч,500000.0,,loose,"и сразу? — Вообще-то мне нужно больше, — сказал Остап, — пятьсот тысяч — это мой минимум, пятьсот тысяч полновесных ориентировочных рублей. Я хочу уехать, товарищ Шура, уехать очень далеко, в Рио-де-Жанейро.",,,,
II,Тридцать сыновей лейтенанта Шмидта,1360,1360.0,,loose,— Это вырезка из «Малой советской энциклопедии». Вот что тут написано про Рио-де-Жанейро: «1360 тысяч жителей…» так…,,,,
II,Тридцать сыновей лейтенанта Шмидта,тысяч,1000.0,,loose,— Это вырезка из «Малой советской энциклопедии». Вот что тут написано про Рио-де-Жанейро: «1360 тысяч жителей…» так…,,,,
II,Тридцать сыновей лейтенанта Шмидта,Полтора миллиона,1500000.0,,loose,"Вы сами видите, что происходит. Полтора миллиона человек, и все поголовно в белых штанах. Я хочу отсюда уехать.",,,,
II,Тридцать сыновей лейтенанта Шмидта,пятьсот тысяч,500000.0,,loose,"Теперь вам ясно, для чего мне нужно столько денег? — Где же вы возьмете пятьсот тысяч? — тихо спросил Балаганов.",,,,
II,Тридцать сыновей лейтенанта Шмидта,Пятьсот тысяч,500000.0,,loose,— Балаганов доверчиво усмехнулся. — Пятьсот тысяч на блюдечке с голубой каемкой. Он поднялся и стал кружиться вокруг столика.,,,,
II,Тридцать сыновей лейтенанта Шмидта,пятьсот тысяч,500000.0,,loose,"Вы это бросьте, Бендер. На пятьсот тысяч можно и у нас хорошо прожить. — Бесспорно, бесспорно, — весело сказал Остап, — прожить можно.",,,,
II,Тридцать сыновей лейтенанта Шмидта,пятисот тысяч,500000.0,,loose,"Но вы не трещите крыльями без повода. У вас же пятисот тысяч нет. На безмятежном, невспаханном лбу Балаганова обозначилась глубокая морщина.",,,,
II,Тридцать сыновей лейтенанта Шмидта,тысячами,1000.0,,loose,Черноморск! Там даже в довоенное время человек с десятью тысячами назывался миллионером. А теперь…,,,,
III,Бензин ваш — идеи наши,сто девяносто рублей,190.0,рублей,certain,"После двух лет работы в одном из московских гаражей он купил по случаю такой старый автомобиль, что появление его на рынке можно было объяснить только ликвидацией автомобильного музея. Редкий экспонат был продан Козлевичу за сто девяносто рублей. Автомобиль почему-то продавался вместе с искусственной пальмой в зеленой кадке.",,,,
III,Бензин ваш — идеи наши,Пять рублей,5.0,рублей,certain,"— Всем, — ответил Козлевич, удивляясь робости арбатовских граждан. — Пять рублей в час. Мужчины зашептались.",,,,
III,Бензин ваш — идеи наши,двадцати пяти,25.0,,loose,А удобно ли? По рублю двадцати пяти на человека не дорого. Чего ж неудобного?..»,,,,
III,Бензин ваш — идеи наши,сорок,40.0,,loose,"Полки, прилавки, ящики и кадушки — все было оголено. Только посреди магазина на полу стояли вытянувшиеся к потолку гигантские охотничьи сапоги сорок девятый номер, на желтой картонной подошве, и смутно мерцала в стеклянной будке автоматическая касса «Националь», никелированный дамский бюст которой был усеян разноцветными кнопками. А к Козлевичу на квартиру прислали повестку от народного следователя: шофер вызывался свидетелем по делу кооператива «Линеец».",,,,
III,Бензин ваш — идеи наши,пяти рублей,5.0,рублей,certain,"На дверце автомобиля он вывел белую и, на его взгляд, весьма заманчивую надпись: «Эх, прокачу!» — и снизил цену с пяти рублей в час до трех. Но граждане и тут не переменили тактики.",,,,
III,Бензин ваш — идеи наши,трех,3.0,,loose,"На дверце автомобиля он вывел белую и, на его взгляд, весьма заманчивую надпись: «Эх, прокачу!» — и снизил цену с пяти рублей в час до трех. Но граждане и тут не переменили тактики.",,,,
