sku,gen,nickname,colorway,main_color,release_date,tier,retail_usd,owned
FY0378,UB21,Core Black,Core Black/Core Black/Grey Four,Black,2021-01-29,base,180,no
FY0375,UB21,Grey Screaming Orange,Dash Grey/Dash Grey/Screaming Orange,Grey,2021-03-01,base,180,no
FZ1927,UB21,Parley Non Dyed,Non Dyed/Non Dyed/Cloud White,White,2021-04-22,sustainable,180,no
GX5236,UB21,Black Iridescent,Core Black/Core Black/Grey Five,Black,2021-10-31,base,180,no
GV7122,UB21,Cold.RDY Grey Solar Red,Dash Grey/Dash Grey/Solar Red,Grey,2021-12-23,seasonal_cold,200,no
HQ6539,UB21,Parley Black Orbit Grey,Core Black/Core Black/Orbit Grey,Black,2022-05-01,sustainable,180,no
FY3956,UB21,GTX Focus Olive,Focus Olive/Core Black/Acid Yellow,Green,2022-03-15,seasonal_gtx,220,no
GX5462,UB22,Vivid Red,Vivid Red/Vivid Red/Core Black,Red,2021-12-22,base,190,no
GX5461,UB22,Collegiate Navy,Collegiate Navy/Collegiate Navy/Cloud White,Blue,2022-02-01,base,190,no
GX3062,UB22,Black White,Core Black/Core Black/Cloud White,Black,2022-02-03,base,190,no
GV8829,UB22,Black Multi Gradient,Core Black/Core Black/Carbon,Black,2022-03-02,base,190,no
GX5557,UB22,Almost Lime,Almost Lime/Almost Lime/Solar Yellow,Green,2022-03-08,base,190,YES
GX8086,UB22,Heat.RDY Legacy Indigo,Legacy Indigo/Pulse Mint/Purple Rush,Blue,2022-05-07,seasonal_heat,220,no
GX5573,UB22,Non Dyed Zebra,Non Dyed/Core Black/Almost Lime,White,2022-05-24,base,190,no
GX8038,UB22,Heat.RDY Orange,Impact Orange/Solar Red/Core Black,Orange,2022-06-01,seasonal_heat,220,no
H01172,UB22,Heat.RDY Black Solar Yellow,Core Black/Solar Yellow/Core Black,Black,2022-06-01,seasonal_heat,220,no
GY8674,UB22,White Sky Rush Mint,White Tint/Sky Rush/Mint Rush,White,2022-06-15,base,190,YES
GX5913,UB22,White Bliss Blue,Cloud White/Cloud White/Bliss Blue,White,2022-07-04,base,190,no
HQ0965,UB22,Linear Energy Black,Core Black/Core Black/Carbon,Black,2022-10-04,base,190,no
GX8321,UB22,GORE-TEX Dash Grey,Dash Grey/Impact Orange/Core Black,Grey,2022-10-10,seasonal_gtx,230,no
GX9782,UB22,Triple Grey,Grey Two/Grey Two/Grey Two,Grey,2022-10-17,base,190,no
HR1029,UB22,Flash Orange,Flash Orange/Core Black/Cloud White,Orange,2022-10-25,base,190,no
GX6690,UB22,Cold.RDY Black White Grey,Core Black/Cloud White/Grey Six,Black,2022-11-06,seasonal_cold,200,no
GX9166,UB22,Wonder Steel Almost Yellow,Wonder Steel/Almost Yellow/Legend Ink,Blue,2022-12-01,base,190,YES
HQ3536,UB22,Made With Nature,Core Black/Core Black/Wonder Taupe,Black,2022-12-15,sustainable,190,no
HQ2095,UB22,Black Grey Marble,Core Black/Grey Four/Carbon,Black,2022-12-27,base,190,no
GZ0127,UB22,Triple Black,Core Black/Core Black/Core Black,Black,2022-01-15,base,190,no
GX5459,UB22,Cloud White,Cloud White/Cloud White/Cloud White,White,2022-01-15,base,190,no
GY6110,UB22,Stella McCartney Orange,Orange/Core Black/Cloud White,Orange,2022-01-14,collab,380,no
GX1079,UB22,Y-3,Core Black/Core White/Chalk Pearl,Black,2022-02-01,collab,400,no
GY9350,UBLight,Triple White,Cloud White/Cloud White/Crystal White,White,2023-03-04,base,190,no
GY9351,UBLight,Black White,Core Black/Core Black/Crystal White,Black,2023-03-03,base,190,no
GZ5159,UBLight,Triple Black,Core Black/Core Black/Core Black,Black,2023-03-04,base,190,no
HP9841,UBLight,Solar Red,Solar Red/Core Black/Night Metallic,Red,2023-03-03,base,190,no
HQ6351,UBLight,White Solar Red,Cloud White/Core Black/Solar Red,White,2023-03-03,base,190,no
GY9358,UBLight,Parley Black Solar Red,Core Black/Cloud White/Grey Five,Black,2023-05-01,sustainable,190,no
IF6530,UBLight,Cold.RDY Olive Strata,Olive Strata/Silver Metallic/Core Black,Green,2023-09-03,seasonal_cold,200,no
IE1694,UBLight,Light Aqua Black,Light Aqua/Core Black/Cloud White,Blue,2023-09-01,base,190,no
H01170,UB22,Magic Grey,Magic Grey/Magic Grey/Turbo,Grey,2021-12-09,base,190,no
GX3061,UB22,Legacy Indigo,Legacy Indigo/Blue Rush/Turbo,Blue,2021-12-09,base,190,no
GX3060,UB22,Black Magic Grey,Core Black/Magic Grey/Turbo,Black,2021-12-09,base,190,no
GX9333,UB22,Legacy Indigo Solar Yellow,Legacy Indigo/Sky Rush/Solar Yellow,Blue,2022-08-01,base,190,no
GX9126,UB22,GORE-TEX Impact Orange,Impact Orange/Core Black/Grey Six,Orange,2022-09-01,seasonal_gtx,230,no
GW6912,UB22,Patchwork Graphic,Multi/Core Black/Cloud White,Multi,2022-07-01,base,190,no
GY6112,UB22,Stella McCartney White,Cloud White/Cloud White/Core Black,White,2022-01-14,collab,380,no
