parent,page,addon,g,price
Сырники со сметаной,3,свежие ягоды,40.0,222
Сырники со сметаной,3,ягодный джем/сгущёнка,30.0,67
Яичница / омлет,3,хрустящие корнишоны,40.0,99
Яичница / омлет,3,хрустящий бекон,30.0,155
Яичница / омлет,3,шампиньоны,60.0,155
Яичница / омлет,3,авокадо,55.0,212
Яичница / омлет,3,пармезановый паштет,50.0,167
Яичница / омлет,3,креветки,40.0,321
Яичница / омлет,3,колбаска куриная,80.0,222
Яичница / омлет,3,цыплёнок су-вид,50.0,137
Яичница / омлет,3,лосось собств. посола,40.0,371
Суп-крем сырный,4,бекон,,69
"Томатный суп со страчателлой, овощами, песто",4,креветки,,321
Картофельные хашбрауны,4,хрустящие корнишоны,40.0,99
Картофельные хашбрауны,4,ещё один хашбраун,60.0,83
Картофельные хашбрауны,4,куриная колбаска,80.0,217
Картофельные хашбрауны,4,лосось собств. посола,40.0,371
Картофельные хашбрауны,4,хрустящий бекон,50.0,155
Френч тост с клубникой и базиликом,5,шарик пломбира,,87
Капучино,6,раст. молоко,,130
Латте,6,раст. молоко,,130
Айс латте,7,раст. молоко,,130
Матча-латте,7,раст. молоко,,130
