menu_pos,page,section,section_pos,item,unit,vol,price,price_printed,price_corrected,has_variants,is_new,has_desc,addon_count,is_upsell_platform,per_unit
1,1,лисички,1,Ватрушка с лисичками и пармез. паштетом,g,255,482,482,,False,False,False,0,False,1.89
2,1,лисички,2,"Равиоли с цыплёнком, лисички, трюфель",g,350,482,482,,False,False,False,0,False,1.377
3,1,лисички,3,"Салат с лисичками, беконом, картофелем",g,310,591,591,,False,False,False,0,False,1.906
4,1,лисички,4,Феттучини в сливочном соусе с лисичками,g,310,631,631,,False,False,False,0,False,2.035
5,1,лисички,5,Оладушек из цукини с лисичками,g,340,482,482,,False,False,False,0,False,1.418
6,2,летние напитки,1,"Латте ""Ягодный пломбир""",ml,300,316,316,,False,False,True,0,False,1.053
7,2,летние напитки,2,"Матча ""Киви-тархун""",ml,400,316,316,,False,False,True,0,False,0.79
8,2,летние напитки,3,"Фильтр ""Персик-арбуз""",ml,300,316,316,,False,False,True,0,False,1.053
9,2,летние напитки,4,"Лимонад ""Маракуйя-ром""",ml,400,316,316,,False,False,True,0,False,0.79
10,2,летние напитки,5,"Холодный чай ""Жасмин-ананас""",ml,400,316,316,,False,False,True,0,False,0.79
11,2,летние напитки,6,Шоколадный квас,ml,400,331,331,,False,False,True,0,False,0.828
12,3,завтраки,1,Фреш апельсин,ml,250,353,353,,False,False,False,0,False,1.412
13,3,завтраки,2,Овсяная каша с песто,g,320,444,444,,False,True,True,0,False,1.387
14,3,завтраки,3,Рисовая каша с клубникой,g,330,367,367,,False,True,True,0,False,1.112
15,3,завтраки,4,Сырники со сметаной,g,180,333,333,,False,False,True,2,False,1.85
16,3,завтраки,5,Сырники с ванильным кремом и вишней,g,280,555,555,471.0,False,False,True,0,False,1.982
17,3,завтраки,6,Пепперони сендвич с жареным яйцом,g,350,571,571,,False,False,True,0,False,1.631
18,3,завтраки,7,Большой завтрак Брянчанина,g,660,978,978,,False,False,True,0,False,1.482
19,3,завтраки,8,Малый завтрак Брянчанина,g,430,669,669,,False,False,True,0,False,1.556
20,3,завтраки,9,Большой австралийский завтрак,g,500,879,879,,False,False,True,0,False,1.758
21,3,завтраки,10,Оладушек из цукини с яйцом пашот,g,250,681,681,,False,False,True,0,False,2.724
22,3,завтраки,11,Яичница / омлет,g,250,454,454,,False,False,True,9,True,1.816
